"","BNTI","RC","Seasonal"
"98761",10.2625977637939,1,"Summer"
"98762",19.733081575865,1,"Summer"
"98787",3.27337347089361,0.98,"Summer"
"98788",-1.5289416131358,-1,"Summer"
"98789",0.51466179647889,0.5,"Summer"
"98790",10.7765691695484,1,"Summer"
"98791",7.62839102616476,1,"Summer"
"98792",7.57670412151422,1,"Summer"
"98793",4.69414269454725,1,"Summer"
"98794",4.53803244655591,0.98,"Summer"
"98795",3.11514202981831,0.96,"Summer"
"98820",2.09146483309294,0.92,"Summer"
"98821",1.84547793806012,0.84,"Summer"
"98822",1.4560548455249,0.84,"Summer"
"101803",0.097709715945565,0.32,"Summer"
"101804",0.451074195568737,0.42,"Summer"
"101805",-1.41159635165359,-0.96,"Summer"
"101806",0.911559426770627,0.8,"Summer"
"101807",0.284295697571957,0.34,"Summer"
"101832",-0.0571368157157665,0.2,"Summer"
"101833",0.168147172469057,0.3,"Summer"
"101834",1.03554979963356,0.72,"Summer"
"101835",3.10914552609401,0.96,"Summer"
"101836",8.80623191527231,1,"Summer"
"101837",1.6360189209022,0.88,"Summer"
"101838",1.27403132796196,0.82,"Summer"
"101839",5.65056684658419,1,"Summer"
"101840",7.10414317745701,1,"Summer"
"101865",1.78333006311329,0.86,"Summer"
"101866",-1.58249216610002,-0.98,"Summer"
"101867",0.155092037273305,0.24,"Summer"
"101868",11.684797431347,1,"Summer"
"101869",5.39171492940275,1,"Summer"
"101870",9.41722926324755,1,"Summer"
"101871",3.44084727152645,0.98,"Summer"
"101872",6.37391476659959,1,"Summer"
"101873",3.27372814087209,1,"Summer"
"101898",18.2253996192317,1,"Summer"
"101899",17.0697608315227,1,"Summer"
"101900",14.9507681618447,1,"Summer"
"101904",-1.18469156001352,-0.92,"Summer"
"101905",-0.513504201880044,-0.34,"Summer"
"101906",-0.0408614342527721,0.26,"Summer"
"101907",0.0993955858349377,0.34,"Summer"
"101932",0.840409659607311,0.8,"Summer"
"101933",0.85006389619615,0.62,"Summer"
"101934",0.868450021318049,0.72,"Summer"
"101935",0.948901200940836,0.72,"Summer"
"101936",16.5330919028656,1,"Summer"
"101937",0.428031307560839,0.44,"Summer"
"101938",0.303563884237569,0.44,"Summer"
"101939",5.78111026481073,1,"Summer"
"101940",2.79672422693876,0.94,"Summer"
"101965",1.95921570398839,0.9,"Summer"
"101966",-1.70822474958506,-1,"Summer"
"101967",-0.643683878962692,-0.48,"Summer"
"101968",21.2176688349324,1,"Summer"
"101969",11.1917946186441,1,"Summer"
"101970",14.5270343497389,1,"Summer"
"101971",3.99777498379323,1,"Summer"
"101972",8.70862738516904,1,"Summer"
"101973",3.99220928037789,0.96,"Summer"
"101998",27.3634204595444,1,"Summer"
"101999",27.6878750791858,1,"Summer"
"102000",24.7166418670049,1,"Summer"
"102004",-1.16075346112969,-0.9,"Summer"
"102005",-0.710146641306912,-0.56,"Summer"
"102006",-0.557570769589095,-0.26,"Summer"
"102031",1.45783996026063,0.84,"Summer"
"102032",1.17211635802238,0.76,"Summer"
"102033",0.517268766219116,0.6,"Summer"
"102034",0.495653385551625,0.58,"Summer"
"102035",12.7541619902905,1,"Summer"
"102036",0.700518434199693,0.56,"Summer"
"102037",-0.616265450739789,-0.48,"Summer"
"102038",4.7460038260941,1,"Summer"
"102039",1.65471200618672,0.88,"Summer"
"102064",0.522115501734266,0.46,"Summer"
"102065",-2.1863282472514,-1,"Summer"
"102066",-1.54333829396054,-1,"Summer"
"102067",22.4429269289826,1,"Summer"
"102068",10.6343199660663,1,"Summer"
"102069",17.0873976507945,1,"Summer"
"102070",2.79227840136695,0.94,"Summer"
"102071",7.9478219583432,1,"Summer"
"102072",1.96671884641665,0.88,"Summer"
"102097",34.8001920572332,1,"Summer"
"102098",31.3964123627443,1,"Summer"
"102099",31.2062774062604,1,"Summer"
"102103",0.958895271060993,0.86,"Summer"
"102104",2.39972013845543,0.94,"Summer"
"102129",-0.453997926958153,-0.18,"Summer"
"102130",-0.544113134289239,-0.18,"Summer"
"102131",0.130598822801066,0.3,"Summer"
"102132",4.29850606720921,1,"Summer"
"102133",0.800923124947209,0.62,"Summer"
"102134",0.203502370173465,0.38,"Summer"
"102135",-0.34093918366539,-0.0600000000000001,"Summer"
"102136",-0.879126127761741,-0.66,"Summer"
"102137",-0.858548053894029,-0.64,"Summer"
"102162",1.27643314444915,0.78,"Summer"
"102163",-1.75374810929635,-0.98,"Summer"
"102164",-0.696279218814924,-0.5,"Summer"
"102165",4.69501612500319,1,"Summer"
"102166",2.72357556463778,0.96,"Summer"
"102167",4.19799999118186,1,"Summer"
"102168",2.22419489587427,0.9,"Summer"
"102169",3.14187720878597,0.98,"Summer"
"102170",1.38482930991459,0.8,"Summer"
"102195",1.36388413270239,0.78,"Summer"
"102196",0.847522825168725,0.56,"Summer"
"102197",0.323501016068864,0.36,"Summer"
"102201",2.27304323613202,0.96,"Summer"
"102226",6.0747211690587,1,"Summer"
"102227",-0.116562145078673,0.14,"Summer"
"102228",1.72167256534245,0.88,"Summer"
"102229",0.842077397119016,0.72,"Summer"
"102230",0.926672853223732,0.88,"Summer"
"102231",-0.179541110073069,-0.02,"Summer"
"102232",2.44242006099964,0.96,"Summer"
"102233",13.2856530998652,1,"Summer"
"102234",15.2317272197208,1,"Summer"
"102259",2.88978584147842,0.96,"Summer"
"102260",-0.394757674391192,-0.2,"Summer"
"102261",0.986028642930932,0.74,"Summer"
"102262",6.78187833542859,1,"Summer"
"102263",5.71497922248271,1,"Summer"
"102264",6.81474191438074,1,"Summer"
"102265",0.36752284965326,0.56,"Summer"
"102266",5.87208281215368,1,"Summer"
"102267",1.85255817239336,0.86,"Summer"
"102292",2.15345639244808,0.96,"Summer"
"102293",1.31114720336026,0.84,"Summer"
"102294",1.09239476763777,0.88,"Summer"
"102322",5.18610233167979,1,"Summer"
"102323",-0.492064246101343,-0.24,"Summer"
"102324",3.1410890322411,0.94,"Summer"
"102325",2.166555329205,0.94,"Summer"
"102326",0.704235093389887,0.76,"Summer"
"102327",0.554759501395983,0.6,"Summer"
"102328",2.55157437847993,0.96,"Summer"
"102329",16.8245542213935,1,"Summer"
"102330",29.0247408939555,1,"Summer"
"102355",2.97052479393134,0.96,"Summer"
"102356",-1.41639253097713,-0.98,"Summer"
"102357",1.23348928571854,0.86,"Summer"
"102358",19.4249599075399,1,"Summer"
"102359",15.3818037988611,1,"Summer"
"102360",8.98773585750213,1,"Summer"
"102361",5.0200468960625,1,"Summer"
"102362",4.48794644992134,1,"Summer"
"102363",5.50271875411448,1,"Summer"
"102388",3.23257741073245,0.96,"Summer"
"102389",2.10234220301021,0.9,"Summer"
"102390",2.07822211970716,0.84,"Summer"
"104398",0.742099349086048,0.52,"Summer"
"104399",0.867924151700681,0.8,"Summer"
"104400",10.9236224395661,1,"Summer"
"104401",1.54824052624789,0.84,"Summer"
"104402",1.51860276106141,0.86,"Summer"
"104403",2.62616300316224,0.94,"Summer"
"104404",0.551960798680899,0.54,"Summer"
"104405",8.80491154321558,1,"Summer"
"104430",3.88476103842131,1,"Summer"
"104431",-0.434211816866495,-0.38,"Summer"
"104432",0.647444739700748,0.6,"Summer"
"104433",22.2746830423145,1,"Summer"
"104434",20.4891109319999,1,"Summer"
"104435",12.7144851390998,1,"Summer"
"104436",9.50213252997122,1,"Summer"
"104437",20.1207878333712,1,"Summer"
"104438",29.6907808107521,1,"Summer"
"104463",1.04305562934564,0.72,"Summer"
"104464",0.88313472219207,0.74,"Summer"
"104465",1.52545628466176,0.88,"Summer"
"104469",1.08709694071187,0.72,"Summer"
"104470",0.177247212946554,0.24,"Summer"
"104471",-0.363660854023511,-0.18,"Summer"
"104472",-0.0420096868231782,0.2,"Summer"
"104473",1.9330830962552,0.9,"Summer"
"104474",3.18286046829308,0.98,"Summer"
"104475",8.48415386369921,1,"Summer"
"104500",2.83067228446016,1,"Summer"
"104501",0.426060214639811,0.48,"Summer"
"104502",1.03969098485558,0.64,"Summer"
"104503",4.00336835507093,1,"Summer"
"104504",6.73606460131338,1,"Summer"
"104505",2.93498316063954,1,"Summer"
"104506",0.382512654280786,0.5,"Summer"
"104507",9.30825934575844,1,"Summer"
"104508",8.15605136773891,1,"Summer"
"104533",-0.683069959944819,-0.44,"Summer"
"104534",-0.89309995825247,-0.74,"Summer"
"104535",-0.355311753515849,0,"Summer"
"104539",1.40107683411267,0.82,"Summer"
"104540",0.110170421194518,0.26,"Summer"
"104541",1.54713964228495,0.92,"Summer"
"104542",1.18921271511159,0.84,"Summer"
"104543",1.25300405655677,0.76,"Summer"
"104544",6.90119996423736,1,"Summer"
"104569",2.57202101748168,0.94,"Summer"
"104570",-0.842391103025574,-0.62,"Summer"
"104571",0.307794560921505,0.52,"Summer"
"104572",3.38435980366427,0.96,"Summer"
"104573",16.4132282997565,1,"Summer"
"104574",1.72497702907503,0.86,"Summer"
"104575",2.09286522297276,0.92,"Summer"
"104576",9.35376143731476,1,"Summer"
"104577",10.8839277802565,1,"Summer"
"104602",0.38148783193512,0.54,"Summer"
"104603",-0.0242492651626555,0.28,"Summer"
"104604",0.0218641300628524,0.48,"Summer"
"104608",5.66672261769441,1,"Summer"
"104609",0.371722804212156,0.6,"Summer"
"104610",2.26859705699247,0.92,"Summer"
"104611",6.81421978731238,1,"Summer"
"104612",2.21731299160535,0.92,"Summer"
"104637",-1.17496085552777,-0.92,"Summer"
"104638",1.40545730430975,0.8,"Summer"
"104639",0.388137818754415,0.46,"Summer"
"104640",1.37145900943015,0.82,"Summer"
"104641",2.14777808872966,0.9,"Summer"
"104642",4.10308020314295,0.98,"Summer"
"104643",3.16971351969664,0.98,"Summer"
"104644",7.05270256033024,1,"Summer"
"104645",0.42721533832606,0.52,"Summer"
"104670",11.4893293059609,1,"Summer"
"104671",7.27909099345578,1,"Summer"
"104672",4.09699283619365,0.96,"Summer"
"104676",7.82448458607158,1,"Summer"
"104677",-0.500046536169508,-0.38,"Summer"
"104678",1.2722349433318,0.86,"Summer"
"104679",2.5496327807736,0.92,"Summer"
"104704",9.21947515216252,1,"Summer"
"104705",4.72498672552399,1,"Summer"
"104706",10.3261738145358,1,"Summer"
"104707",11.0283289042897,1,"Summer"
"104708",19.6991844349367,1,"Summer"
"104709",16.8886751507874,1,"Summer"
"104710",10.478064383283,1,"Summer"
"104711",15.1184772692657,1,"Summer"
"104712",17.8727847512308,1,"Summer"
"104737",-0.0191057915076621,0.14,"Summer"
"104738",1.02058170626965,0.74,"Summer"
"104739",0.186546232771484,0.52,"Summer"
"104743",-0.878627732318626,-0.7,"Summer"
"104744",2.17525246611628,0.94,"Summer"
"104745",3.02299548240625,0.98,"Summer"
"104770",-0.765999601261406,-0.5,"Summer"
"104771",-0.704772715782699,-0.5,"Summer"
"104772",1.34392346483547,0.78,"Summer"
"104773",13.1211282617004,1,"Summer"
"104774",2.95208167390862,0.94,"Summer"
"104775",12.9955833132543,1,"Summer"
"104776",2.61556567516591,0.96,"Summer"
"104777",7.52918424249569,1,"Summer"
"104778",3.67478125755752,0.96,"Summer"
